"GeneSymbol","log2FoldChange","padj","Source","Avg_Intron_FC","Median_Intron_FC","Avg_IntronExon_Ratio","Median_IntronExon_Ratio","Num_Retained_Introns","Scaled_Chromatin_FC","Scaled_Intron_FC","Scaled_IntronExon_Ratio","GRIPP_Score","GRIPP_Definition"
"ZNF487",1.07729216127337,0.00799577376695388,"Chromatin_Enriched",1.40602042501039,1.31064042186348,3.37363304981774,3.37363304981774,5,1.41207625525788,-0.0673534028714452,5.38607742651551,1.54334492638568,TRUE
"LINC01285",1.0900959951857,0.0233811451621711,"Chromatin_Enriched",1.01345201680163,1.01345201680163,3.2125340599455,3.2125340599455,1,1.47499230856824,-1.20564464071457,5.09814223241755,1.53923081918098,TRUE
"P2RY11",1.92081796735653,3.57901348122937e-07,"Chromatin_Enriched",2.04023897911189,2.04023897911189,0.850523168908819,0.850523168908819,1,5.5570311920037,1.77162652499725,0.87647662848353,1.53726767011281,TRUE
"RBFOX3",1.18730396114373,0.00375596250348528,"Chromatin_Enriched",1.99564345280071,1.90248016597286,2.36353757923332,2.36353757923332,9,1.95265717131819,1.64231735037812,3.58071517309076,1.51907514688543,TRUE
"SNHG25",2.03644224181175,0.00117915393039495,"Chromatin_Enriched",1.46445991432358,1.46445991432358,0.742091503267974,0.742091503267974,1,6.1251909373898,0.102097722685903,0.682674713788581,1.50755632573562,TRUE
"ADAM32",1.1744395610694,0.00427431124431636,"Chromatin_Enriched",2.21811729950044,1.93366440572135,2.20515826494724,2.20515826494724,9,1.8894435052847,2.28740244905699,3.29764090529908,1.44335060914344,TRUE
"CENPS-CORT",1.32457014802775,0.0302239496287879,"Chromatin_Enriched",0.87152599847848,0.780523881644866,1.54268006874642,1.54268006874642,7,2.62716191660289,-1.61717328056705,2.11358141392655,1.42352912265835,TRUE
"LINC01730",1.92387740873529,0.00109768931661428,"Chromatin_Enriched",2.04516556664912,2.00308940547879,0.671840354767184,0.671840354767184,3,5.57206481226182,1.78591165673184,0.557113541150432,1.36812609072697,TRUE
"ZNF239",1.04824059811236,0.00706973053620748,"Chromatin_Enriched",1.26547730930782,1.19120118890977,2.93309090909091,2.93309090909091,10,1.2693213812801,-0.474872178703082,4.5986883379861,1.36437439952298,TRUE
"HSPBAP1",1.5550993579399,2.14669815646722e-06,"Chromatin_Enriched",2.02628772311742,1.98088804475796,0.97736893520026,0.97736893520026,4,3.75994668714407,1.73117346733051,1.10319040469402,1.35551744548415,TRUE
"LUNAR1",0.9540427003725,0.0257699663951142,"Chromatin_Enriched",1.28917472787381,1.28917472787381,4.27727272727273,4.27727272727273,1,0.806447526737447,-0.406159150988374,7.00116927860575,1.31327758149041,TRUE
"ZNF502",1.40272497708057,0.000256940814027016,"Chromatin_Enriched",1.46204084508926,1.36158070009655,1.07844276583382,1.07844276583382,4,3.0112026207246,0.0950833902648806,1.28384152525522,1.2742467741337,TRUE
"LPXN",1.3401127890788,0.00219992406877435,"Chromatin_Enriched",1.43358650512599,1.41990257413114,1.2,1.2,6,2.7035360432627,0.012577194703749,1.50110301051598,1.27362538682205,TRUE
"MIR100HG",0.91404324220409,0.00943695356378819,"Chromatin_Enriched",1.13610115171561,0.987391690929856,5.24258521469677,5.24258521469677,9,0.609896395276314,-0.850011246171575,8.72649008075389,1.26440377735367,TRUE
"U2AF1L5",1.02559038043887,0.00251529172293879,"Chromatin_Enriched",1.86297491565635,1.72075566083415,2.73771244832338,2.73771244832338,5,1.15802172584923,1.25763170015487,4.24948481369166,1.2590334575154,TRUE
"BCO2",1.7439549528186,0.000363522924505263,"Chromatin_Enriched",1.92433203781409,1.77733278948686,0.647477360931436,0.647477360931436,3,4.68795377913737,1.43554279302683,0.513569113190537,1.23193829818794,TRUE
"GCOM1",1.20543926317747,0.029436741747534,"Chromatin_Enriched",1.36530093331102,1.07319897635134,1.4788534013476,1.4788534013476,11,2.04177123179154,-0.185423628701149,1.99950283478287,1.22871484301863,TRUE
"LNCOC1",1.95731045013909,7.56318107486915e-07,"Chromatin_Enriched",1.55528547744958,1.55528547744958,0.513389441469013,0.513389441469013,1,5.73634959053148,0.365455498086706,0.273911303124667,1.21346225988985,TRUE
"RGS20",1.04483184800908,0.00339763178110027,"Chromatin_Enriched",1.54933850716101,1.58845205220596,2.34433731001798,2.34433731001798,10,1.25257131214549,0.348211664834623,3.54639817800818,1.21170327649157,TRUE
"NECAB2",2.01100203966061,1.00990908494352e-07,"Chromatin_Enriched",2.6168625233067,2.53286188675191,0.487848997247346,0.487848997247346,11,6.00018173110622,3.44360397954056,0.228262396386356,1.20978978356201,TRUE
"TBX2-AS1",1.22065136448975,0.00754249711016069,"Chromatin_Enriched",0.898377123902463,0.840337854751674,1.37706855791962,1.37706855791962,4,2.1165211374588,-1.53931576539967,1.81758090794828,1.20718571698119,TRUE
"CXXC4",1.37338176905464,0.00869980906073248,"Chromatin_Enriched",1.35890724324978,1.35890724324978,1.01119402985075,1.01119402985075,2,2.86701464912975,-0.203962770471128,1.16364661985275,1.2039742722946,TRUE
"ZDHHC11B",1.25483408617876,0.00337658890701369,"Chromatin_Enriched",1.39263053628523,1.3918827091228,1.25185185185185,1.25185185185185,7,2.28448972833591,-0.106178720173682,1.59377878110363,1.19579318800406,TRUE
"ZCCHC7",1.16622459221258,0.000391983507485968,"Chromatin_Enriched",2.4223672003485,2.39965128779583,1.54118984463812,1.54118984463812,9,1.84907642288754,2.87964539985003,2.11091790890884,1.19368710408425,TRUE
"FMC1",1.37630709133847,0.000510814408395858,"Chromatin_Enriched",1.3450005306693,1.40732877846874,0.976728487174021,0.976728487174021,4,2.88138922896417,-0.244286670068133,1.1020457201315,1.18624089934669,TRUE
"C20orf204",1.58429263820109,0.000224912802887663,"Chromatin_Enriched",1.87653588565409,1.87653588565409,0.672016048144433,0.672016048144433,1,3.90339793696451,1.29695308466342,0.557427561162104,1.14523928851878,TRUE
"NDUFAF6",1.07222446768514,0.00330559251726916,"Chromatin_Enriched",1.47541489797917,1.53138775912772,1.87955008736168,1.87955008736168,35,1.3871743952259,0.133862789984043,2.71567540764241,1.14176699806325,TRUE
"NEU4",1.1138056130115,0.0305363511781481,"Chromatin_Enriched",1.64284253269418,1.64284253269418,1.57243816254417,1.57243816254417,2,1.59149769197997,0.619335909022052,2.16676860349512,1.11859995227746,TRUE
"NMRAL2P",1.19243358881019,0.000275912523049884,"Chromatin_Enriched",1.29723454694503,1.268579494158,1.24421189109094,1.24421189109094,3,1.97786336580143,-0.382788902044416,1.58012373841008,1.10925225234914,TRUE
