"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_UP","GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_UP","34/4231","198/21355",0.847961085684387,0.881136940040172,0.174790702523524
"GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_DN","GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_DN","34/4231","198/21355",0.847961085684387,0.881136940040172,0.174790702523524
"GSE8835_CD4_VS_CD8_TCELL_DN","GSE8835_CD4_VS_CD8_TCELL_DN","34/4231","198/21355",0.847961085684387,0.881136940040172,0.174790702523524
"GSE29949_CD8_NEG_DC_SPLEEN_VS_DC_BRAIN_UP","GSE29949_CD8_NEG_DC_SPLEEN_VS_DC_BRAIN_UP","33/4231","193/21355",0.851558199483998,0.88469544599817,0.175496601604664
"GSE12507_PDC_CELL_LINE_VS_IMMATUE_T_CELL_LINE_DN","GSE12507_PDC_CELL_LINE_VS_IMMATUE_T_CELL_LINE_DN","24/4231","144/21355",0.855084863419772,0.888179333310993,0.176187698621767
"HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_3DY_UP","HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_3DY_UP","2/4231","16/21355",0.855361530604017,0.888286711077024,0.176208999096537
"GSE45365_NK_CELL_VS_CD8A_DC_DN","GSE45365_NK_CELL_VS_CD8A_DC_DN","34/4231","199/21355",0.855857590097626,0.888621836508088,0.17627547776389
"GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP","GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP","31/4231","183/21355",0.859005125225591,0.891709249069741,0.176887926279107
"SOBOLEV_T_CELL_PANDEMRIX_AGE_18_64YO_1DY_UP","SOBOLEV_T_CELL_PANDEMRIX_AGE_18_64YO_1DY_UP","3/4231","23/21355",0.862299407063631,0.894947714235305,0.177530339025259
"GSE19825_NAIVE_VS_IL2RAHIGH_DAY3_EFF_CD8_TCELL_UP","GSE19825_NAIVE_VS_IL2RAHIGH_DAY3_EFF_CD8_TCELL_UP","34/4231","200/21355",0.86344592609917,0.895412465544072,0.177622531514379
"GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_UP","GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_UP","34/4231","200/21355",0.86344592609917,0.895412465544072,0.177622531514379
"GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN","GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN","34/4231","200/21355",0.86344592609917,0.895412465544072,0.177622531514379
"GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_UP","GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_UP","34/4231","200/21355",0.86344592609917,0.895412465544072,0.177622531514379
"GSE13762_CTRL_VS_125_VITAMIND_DAY5_DC_DN","GSE13762_CTRL_VS_125_VITAMIND_DAY5_DC_DN","22/4231","134/21355",0.86506363717193,0.896820898069094,0.177901921583413
"HOFT_CD4_POSITIVE_ALPHA_BETA_MEMORY_T_CELL_BCG_VACCINE_AGE_18_45YO_ID_56D_TOP_100_DEG_AFTER_IN_VITRO_RE_STIMULATION_UP","HOFT_CD4_POSITIVE_ALPHA_BETA_MEMORY_T_CELL_BCG_VACCINE_AGE_18_45YO_ID_56D_TOP_100_DEG_AFTER_IN_VITRO_RE_STIMULATION_UP","6/4231","42/21355",0.865328943006191,0.896820898069094,0.177901921583413
"PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_DN","PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_DN","6/4231","42/21355",0.865328943006191,0.896820898069094,0.177901921583413
"GSE25088_CTRL_VS_ROSIGLITAZONE_STIM_MACROPHAGE_DN","GSE25088_CTRL_VS_ROSIGLITAZONE_STIM_MACROPHAGE_DN","31/4231","184/21355",0.866772303233772,0.898135198378071,0.178162638690929
"GSE8515_CTRL_VS_IL6_4H_STIM_MAC_DN","GSE8515_CTRL_VS_IL6_4H_STIM_MAC_DN","33/4231","195/21355",0.866960261556134,0.898148403544209,0.178165258193257
"GSE11884_WT_VS_FURIN_KO_NAIVE_CD4_TCELL_UP","GSE11884_WT_VS_FURIN_KO_NAIVE_CD4_TCELL_UP","23/4231","140/21355",0.868772030874199,0.899843489646624,0.17850151159181
"GSE26928_EFF_MEM_VS_CENTR_MEM_CD4_TCELL_DN","GSE26928_EFF_MEM_VS_CENTR_MEM_CD4_TCELL_DN","32/4231","190/21355",0.870548160381979,0.901500983862228,0.178830307906218
"GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_UP","GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_UP","33/4231","196/21355",0.874194506807501,0.904563621722627,0.179437841876103
"GSE29949_CD8_POS_DC_SPLEEN_VS_DC_BRAIN_DN","GSE29949_CD8_POS_DC_SPLEEN_VS_DC_BRAIN_DN","33/4231","196/21355",0.874194506807501,0.904563621722627,0.179437841876103
"GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_DERIVED_MACROPHAGE_UP","GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_DERIVED_MACROPHAGE_UP","31/4231","185/21355",0.874211506440479,0.904563621722627,0.179437841876103
"GSE21927_SPLENIC_C26GM_TUMOROUS_VS_BONE_MARROW_MONOCYTES_UP","GSE21927_SPLENIC_C26GM_TUMOROUS_VS_BONE_MARROW_MONOCYTES_UP","31/4231","185/21355",0.874211506440479,0.904563621722627,0.179437841876103
"GSE13411_NAIVE_VS_MEMORY_BCELL_UP","GSE13411_NAIVE_VS_MEMORY_BCELL_UP","32/4231","192/21355",0.884595993230975,0.915123927608875,0.181532684574034
"GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_DN","GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_DN","33/4231","198/21355",0.887757737392556,0.918024240846125,0.182108018288058
