"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WAPL:10:86443363:86446241",31.6511356775929,8.06677931841895,1.15297077449069,6.99651673476489,2.62404443872404e-12,5.75682903075642e-12
"WAPL:10:86446449:86451966",34.7977551646387,7.25885777451442,0.895470309006466,8.10619593023492,5.22291984606826e-16,1.64195225615575e-15
"WAPL:10:86461287:86467278",13.109859154862,8.65885019662247,1.4049452123706,6.16312303168902,7.13240471270379e-10,1.18743684425757e-09
"WAPL:10:86473973:86497200",67.9208948795281,7.385516476388,0.710672251830293,10.3922961074772,2.68802809590224e-25,1.83515226135605e-24
"WAPL:10:86497301:86499717",28.9889410277235,4.13342010853368,0.610059500411111,6.77543765116062,1.24030223110149e-11,2.52931579755399e-11
"WAPL:10:86497319:86499717",14.755600711103,8.82658425515555,1.39843701163007,6.31174960455813,2.75898367957923e-10,4.82064537161179e-10
"WAPL:10:86500743:86517570",32.7734850071735,9.97918441009979,1.2961961637813,7.69882266970167,1.37325586447323e-14,3.78717463761581e-14
"BMPR1A:10:86756919:86838864",111.804939555512,7.45832373652187,0.589445618902091,12.6531159064577,1.07524230157579e-36,1.89329620684515e-35
"BMPR1A:10:86838979:86875866",29.5626903922938,5.40649687061473,0.706759812578668,7.64969481058735,2.01456861296644e-14,5.47227312473137e-14
"BMPR1A:10:86876085:86890061",10.8685519476635,6.42928209543613,1.29737308957459,4.95561542558609,7.21017035057752e-07,8.62955454952324e-07
"BMPR1A:10:86900126:86912239",26.7819583735242,4.31525539799865,0.624078998989258,6.91459799959224,4.69191965816335e-12,1.00214988607456e-11
"BMPR1A:10:86921695:86923375",35.7641576386795,5.93314008682782,0.755737415190218,7.85079574938665,4.13405762154449e-15,1.19805437249843e-14
"SNCG:10:86958818:86959632",19.9229391595438,1.78821652677905,0.679024697098829,2.63350734431207,0.00845080080399755,0.00857309760107932
"SNCG:10:86959674:86960000",12.2478127677218,3.42930237735718,0.843897876899177,4.06364617239924,4.83120438527932e-05,5.19962807018576e-05
"GLUD1:10:87051870:87053341",15.1947517130696,4.27867113415306,0.949393096830259,4.50674346425972,6.58301426042678e-06,7.38447816905982e-06
"GLUD1:10:87053404:87057690",15.8923239885522,4.86182022002695,0.844665293903611,5.75591332462365,8.6174595398068e-09,1.2596831085629e-08
"GLUD1:10:87060241:87060687",13.2812837186759,8.67564481149013,1.41291724851256,6.14023561579658,8.23991696467132e-10,1.36168057329386e-09
"GLUD1:10:87062835:87068062",23.6671100309146,6.42074140022278,0.909114500169812,7.06263226361857,1.63377679551903e-12,3.66487227600353e-12
"GLUD1:10:87068157:87074550",15.8987762326655,7.12290325589259,1.23945650327825,5.74679566168975,9.09505299344913e-09,1.32555778731507e-08
"GLUD1:10:87076656:87089561",37.414805541921,7.76297871429653,0.986117660810728,7.8722641554906,3.48279812090261e-15,1.01588321007263e-14
"GLUD1:10:87076656:87093932",46.0857275964144,7.06596041354661,0.769978801197383,9.17682461200027,4.4399061281603e-20,1.98354351610147e-19
"GLUD1:10:87076656:87094324",47.0109265900809,7.09470533859502,0.766415882656883,9.25699153571854,2.10273288707329e-20,9.65713480838649e-20
"GLUD1:10:87078543:87094324",34.8682962339333,6.91310846991378,0.827674751182681,8.3524457645174,6.68637700600361e-17,2.27162282191371e-16
"SHLD2:10:87095248:87151349",238.228027386773,5.57346071970475,0.419384449758281,13.2896217847779,2.65918927719666e-40,6.30875284000828e-39
"SHLD2:10:87096989:87100572",14.1141636302273,8.76502461577806,1.43701691623558,6.09945820174404,1.06428584784903e-09,1.73535609345168e-09
"SHLD2:10:87096989:87104681",36.3415748803227,6.33080301310285,0.75606111240153,8.37340118313171,5.59786272787813e-17,1.91518422105856e-16
"SHLD2:10:87096989:87121791",102.635019565152,6.59277122693293,0.568951288338201,11.5875846703664,4.76376969819068e-31,5.24627755504736e-30
"SHLD2:10:87096989:87151349",224.866254238288,6.14243963678199,0.434041159428216,14.1517446061423,1.82180880834042e-45,6.53945035460556e-44
"SHLD2:10:87096989:87151654",256.751433192841,4.91696809912218,0.389538597443562,12.6225440338671,1.58613121369509e-36,2.74866644473833e-35
"SHLD2:10:87096989:87158047",412.031066061334,3.69150208780003,0.312951254094063,11.7957734295913,4.10412563970562e-32,4.93203941080168e-31
"SHLD2:10:87100620:87151349",212.447335885315,6.05924688645183,0.432236769187528,14.0183513259211,1.20378768168541e-44,4.08842981470955e-43
"SHLD2:10:87104962:87158047",374.449278361096,3.56171504084273,0.311503571277629,11.4339460900381,2.82951455985963e-30,2.92081073818455e-29
"SHLD2:10:87121907:87151349",121.480980860147,5.91881482217757,0.466313306269417,12.6927856070183,6.48379843484183e-37,1.16285073977034e-35
"SHLD2:10:87151832:87158047",160.885687582148,2.66657332445759,0.346136183441093,7.70382714094783,1.32050448566717e-14,3.64804799779071e-14
"SHLD2:10:87152879:87170477",119.928306605064,3.2879939880005,0.365840998234035,8.98749457789615,2.52930223598681e-19,1.059287598799e-18
"SHLD2:10:87158155:87170477",48.2177285170522,5.97741882089612,0.620471611785201,9.63367011054396,5.7633416504571e-22,3.00696261722321e-21
"SHLD2:10:87170974:87180074",97.2976140744989,2.94735820382379,0.396298211028598,7.43722308554932,1.0282382616287e-13,2.60353900630813e-13
"SHLD2:10:87176095:87180125",74.6846631813557,2.72773956754022,0.422153587243312,6.46148617462312,1.03679629674394e-10,1.90856965292755e-10
"SHLD2:10:87176095:87180230",102.770867311737,2.64594670335739,0.399621195820002,6.62113704436533,3.56446311837938e-11,6.91807669258016e-11
"SHLD2:10:87187200:87189021",110.131066544407,6.0733977720889,0.483667096347992,12.5569794140372,3.63964025781793e-36,6.12478070239085e-35
"SHLD2:10:87187200:87190483",256.581371541132,5.49711260649917,0.353927996722042,15.5317258239289,2.11607326381394e-54,1.66527807897628e-52
"NUTM2A-AS1:10:87238872:87246114",193.335558984921,3.06167540677585,0.405549902052862,7.54944185975114,4.37127473691573e-14,1.14753090849171e-13
"NUTM2A-AS1:10:87246212:87288441",89.6019242291838,5.28111674500961,0.490827303853987,10.7596229947726,5.33881292915375e-27,4.21841016914359e-26
"NUTM2A-AS1:10:87288495:87326629",177.794464380229,4.18779643486384,0.347007692529829,12.0683100836557,1.55290529467581e-33,2.10466303427507e-32
"NUTM2A-AS1:10:87326672:87336785",73.8873507950424,3.29030814927333,0.415280344299284,7.92310109168584,2.31659084628345e-15,6.86366214563076e-15
"LINC00863:10:87343137:87344436",27.2813221600552,2.52562154545174,0.582379571231943,4.33672757461107,1.446196844848e-05,1.59357355478522e-05
"LINC00863:10:87344495:87354619",40.035374945415,3.50148204008285,0.523355615400217,6.69044515249009,2.22492739049813e-11,4.41374891921802e-11
"MINPP1:10:87505552:87508335",34.6687363130519,5.23059635702554,0.669020062947876,7.818295215211,5.35435028753514e-15,1.53579393510356e-14
"MINPP1:10:87508533:87513123",12.7581946098757,6.09205094948495,1.12161834135739,5.43148299635713,5.58876419444407e-08,7.44865064957173e-08
"MINPP1:10:87508533:87552081",307.996114440408,2.47013492342309,0.329098233553343,7.50576779690525,6.10695866106721e-14,1.58043852831533e-13
"MINPP1:10:87513221:87521035",36.2162805446909,4.27601118028746,0.568556442101079,7.52082091355015,5.44333684162088e-14,1.41519154128915e-13
"MINPP1:10:87521169:87552081",35.1140541355814,4.73352181311555,0.611845645807525,7.73646400125666,1.02219909027228e-14,2.85359440803586e-14
"PAPSS2:10:87660008:87709195",58.1514778301384,5.56740044951006,0.58372045457775,9.53778543453199,1.45914836466548e-21,7.36868934366104e-21
"PAPSS2:10:87715843:87721755",33.3094823308222,5.06227927043444,0.625701082867692,8.09057137512561,5.93854880099258e-16,1.8587645263296e-15
"PAPSS2:10:87715843:87727283",59.7958984441523,5.02621211372244,0.505441051767966,9.94421030136237,2.67285517030578e-23,1.55021851716855e-22
"PAPSS2:10:87721770:87727283",25.6454611917859,5.453685151933,0.721882873598067,7.55480612076346,4.19484241206692e-14,1.10292577450519e-13
"PAPSS2:10:87727489:87741234",14.3659289392644,6.94135486894023,1.27509507936723,5.4437939423191,5.21575520875205e-08,6.972979348956e-08
"ATAD1:10:87754807:87756788",40.9434864564254,5.95269859870951,0.662561386625086,8.98437294849161,2.60213821901723e-19,1.08868935591309e-18
"ATAD1:10:87756922:87759700",29.6913394421382,7.3616839680903,0.990048710831167,7.43567855556319,1.0403253704548e-13,2.63244290997072e-13
"ATAD1:10:87756922:87767672",100.030203190072,4.94892239884898,0.474625162454489,10.4270122832426,1.8666556015304e-25,1.29163406977539e-24
"ATAD1:10:87759787:87767672",69.9727533809258,4.5958912788762,0.523715969103191,8.77554161036218,1.7008328383055e-18,6.65030999544796e-18
"ATAD1:10:87767723:87770951",7.07955650964823,6.79454044789492,1.53121623024928,4.43734876477163,9.10736666222077e-06,1.01397718740537e-05
"ATAD1:10:87767723:87776320",151.82773773447,2.07528406302489,0.342191572425757,6.06468490241719,1.32212597105376e-09,2.13020629717004e-09
"ATAD1:10:87776427:87784469",10.2121179778209,5.44972426826458,1.09802586998131,4.96320206768659,6.93403741247736e-07,8.31001743797009e-07
"ATAD1:10:87792755:87814437",18.439841647867,8.18359548988407,1.35308543434626,6.04809961156517,1.46564333171167e-09,2.34842988067536e-09
"ATAD1:10:87814612:87817794",18.6114201886704,4.96202461038799,0.777500115865413,6.38202427129533,1.74762255765432e-10,3.12798135667864e-10
"ATAD1:10:87814612:87818166",53.384094442464,2.87020731159691,0.450066975224144,6.37728931381262,1.80249762040766e-10,3.22031534308829e-10
"CFL1P1:10:87819040:87832098",21.5532626142288,4.29004521839447,0.695866873441533,6.1650372824579,7.04665356784011e-10,1.17384309629454e-09
"PTEN:10:87864548:87894024",128.29475455977,5.44177593212072,0.446923269392298,12.1760854822354,4.16811642449294e-34,5.88699987581533e-33
"PTEN:10:87894109:87925512",46.5830205868164,8.02299801627734,0.962514660671146,8.33545539003326,7.72004800415042e-17,2.61029345882908e-16
"PTEN:10:87894109:87931045",89.1762434785541,3.0118618809527,0.422226824458912,7.13327933347776,9.80053766180387e-13,2.24962388911724e-12
"PTEN:10:87933251:87942610",35.2467527587114,5.79004504517139,0.669182213762938,8.6524192157064,5.04190454973622e-18,1.89143193758736e-17
"PTEN:10:87933251:87952117",111.644207229458,6.44818251117281,0.484056863701279,13.321126079832,1.74456127029428e-40,4.20179077611123e-39
"PTEN:10:87942769:87952117",74.7972683668496,8.03263623084938,0.770970622973194,10.4188616161172,2.03372785123518e-25,1.40280679459747e-24
"PTEN:10:87952259:87957852",28.5846409448751,7.96867509151593,1.16528469653881,6.83839332584123,8.00862644585068e-12,1.66848998996543e-11
"PTEN:10:87961118:87965286",14.5748421445154,3.58716041750815,0.768426124379382,4.66819165005005,3.03862390756711e-06,3.47592129879148e-06
"RNLS:10:88275032:88314465",29.5632662100322,2.23383233795331,0.536005989597294,4.16755107462812,3.07889540628496e-05,3.34190421519356e-05
"RNLS:10:88362725:88572902",21.7079264986136,4.06422832437306,0.717964345694263,5.6607662326783,1.50698595700679e-08,2.14140946997165e-08
