"","DMSO_Chromatin_rep1","DMSO_Chromatin_rep2","DMSO_Chromatin_rep3","DMSO_Cytoplasm_rep1","DMSO_Cytoplasm_rep2","DMSO_Cytoplasm_rep3","DMSO_Nucleoplasm_rep1","DMSO_Nucleoplasm_rep2","DMSO_Nucleoplasm_rep3","GSK591_Chromatin_rep1","GSK591_Chromatin_rep2","GSK591_Chromatin_rep3","GSK591_Cytoplasm_rep1","GSK591_Cytoplasm_rep2","GSK591_Cytoplasm_rep3","GSK591_Nucleoplasm_rep1","GSK591_Nucleoplasm_rep2","GSK591_Nucleoplasm_rep3"
"PRORP:14:35122910:35127478",360.747275594515,407.036551173932,404.198947637055,897.951530011766,688.610112316118,642.281144628778,78.4814601655976,82.8456630272377,61.0058553660041,849.871396000022,608.363383917071,436.473178581496,873.594633386292,609.70820531472,566.577733400379,151.442779096533,105.055159305585,69.133678846906
"PRORP:14:35124231:35127478",69.3744760758683,104.959110680071,70.8165272140393,193.711317966248,137.178740323329,170.10185565511,12.9881289710672,16.7553026347222,9.30597793718706,188.613756292433,115.379262467031,67.1497197817687,125.941560419534,92.0314272173162,106.863415908257,22.5448797360534,15.3505255606335,12.124189947032
"PRORP:14:35127611:35180669",93.6555427024223,65.2794468863853,29.4160959196779,3.62077229843454,4.0746160492078,2.93279061474328,0.552686339194349,0.465425073186729,0.689331699050893,133.139122088776,339.844373084709,159.480584481701,3.99814477522331,0,0,1.96042432487421,0,0
"PRORP:14:35180777:35266726",147.998882295186,140.798807009851,114.395928576525,36.2077229843454,25.8059016449827,14.6639530737164,1.65805901758305,4.65425073186729,2.06799509715268,246.307375864236,778.285570459425,359.251000832462,39.9814477522331,16.6167854697932,16.1303269295482,0.980212162437105,1.43911177130939,0.773884464704172
"PSMA6:14:35278718:35307993",1128.49147750079,1080.31084651195,766.997463979749,3443.35445581125,2205.72548797116,2745.09201539971,208.915436215464,333.709777474885,253.674065250729,2744.88490039694,1799.91649448568,1311.09827873903,5081.64200930882,2135.89604000188,4145.49402089388,628.806102203403,447.08405695345,242.741760428875
"PSMA6:14:35292552:35307993",189.623567940707,179.198481648901,123.111808849022,94.1400797592981,25.8059016449827,43.9918592211492,4.97417705274914,9.30850146373458,3.44665849525447,514.804605409935,568.505093246642,327.354883936122,91.957329830136,35.7899994734007,94.7656707110955,12.7427581116824,4.79703923769796,1.0318459529389
"PSMA6:14:35292552:35308913",1544.738333956,1503.98725669613,1061.15842317653,4951.40611810924,3151.03641138737,3696.7825698839,308.951663609641,484.972926260572,374.307112584635,3852.15859910193,2152.34769620315,1863.40472394408,6746.86930818933,2918.16317134907,5893.61820188366,890.032643492892,645.201777470376,330.448666428681
"PSMA6:14:35292600:35307993",188.467326672776,179.198481648901,123.111808849022,94.1400797592981,24.4476962952468,43.9918592211492,4.69783388315197,8.37765131736112,3.44665849525447,514.804605409935,566.407288474514,327.354883936122,87.9591850549127,34.5117852064936,92.749379844902,12.7427581116824,4.79703923769796,1.0318459529389
"PSMA6:14:35310895:35312880",134.123987080012,101.119143216166,119.843353746836,21.7246337906073,14.9402588470953,27.8615108400611,1.93440218718022,3.72340058549383,2.75732679620357,350.599688167111,188.802429491505,167.874299454422,33.9842305893981,16.6167854697932,20.1629086619352,10.7823337868082,11.0331902467053,2.83757637058196
"PSMA6:14:35310895:35314360",2270.85785021676,2175.98156287951,1540.53183816387,7270.51077525656,3868.16883604794,5152.91311010394,423.081392653274,853.124159151274,721.040957207234,6184.31222102366,2399.88865931424,2696.06124923801,10331.206099177,3653.13637482069,9476.56707110955,1393.86169498556,936.382059198642,501.219171640069
"PSMA6:14:35314455:35317248",112.15540298932,215.038177978681,174.317605449943,25.3454060890418,2.71641069947187,11.7311624589731,3.86880437436045,3.2579755123071,3.10199264572902,355.037658903403,201.389258124272,235.02401923619,31.9851582017864,6.39107133453585,24.1954903943223,5.88127297462263,4.79703923769796,2.32165339411252
"NFKBIA:14:35402060:35402393",90.1868188986288,49.9195770307653,31.5950659878022,1.81038614921727,6.79102674867967,8.79837184422983,0,0.465425073186729,0.689331699050893,241.869405127944,65.0319479359627,45.3260608526938,1.99907238761165,0,4.03258173238704,3.43074256852987,0.479703923769796,0
"NFKBIA:14:35402663:35402770",77.4681649513863,75.5193601234654,65.3691020437286,9.05193074608636,6.79102674867967,1.46639530737164,1.1053726783887,2.32712536593364,1.72332924762723,315.09592227677,148.944138821076,127.58446758536,1.99907238761165,2.55642853381434,6.04887259858056,3.43074256852987,0.479703923769796,1.54776892940834
"NFKBIA:14:35402859:35403149",84.4056125589731,75.5193601234654,63.1901319756043,5.43115844765181,0,4.39918592211492,0.829029508791524,0.465425073186729,0,281.811141754576,86.009995657241,77.222177749034,3.99814477522331,2.55642853381434,6.04887259858056,0.490106081218553,0,1.54776892940834
"NFKBIA:14:35403360:35403689",36.9997205737965,56.3195228039403,47.9373414987343,9.05193074608636,2.71641069947187,2.93279061474328,0.276343169597175,0,0.344665849525447,166.42390261097,73.4231670244741,57.0772618145034,7.99628955044661,2.55642853381434,4.03258173238704,0.980212162437105,0.959407847539592,0.257961488234724
"NFKBIA:14:35403798:35404417",58.9683046644881,75.5193601234654,57.7427068052936,7.24154459686908,5.43282139894373,10.2647671516015,0.276343169597175,1.86170029274692,0.689331699050893,184.175785556141,98.596824290008,73.8646917599455,11.9944343256699,5.11285706762868,8.06516346477408,0.980212162437105,1.43911177130939,0.515922976469448
"RALGAPA1:14:35539690:35548504",126.030298204494,236.797993607476,241.865677561796,0,5.43282139894373,13.1975577663447,0.829029508791524,4.18882565868056,1.72332924762723,177.518829451702,264.323401288107,209.842874318027,7.99628955044661,6.39107133453585,12.0977451971611,1.47031824365566,2.87822354261878,0.257961488234724
"RALGAPA1:14:35539690:35548507",126.030298204494,236.797993607476,241.865677561796,0,5.43282139894373,13.1975577663447,0.829029508791524,4.18882565868056,1.72332924762723,177.518829451702,264.323401288107,209.842874318027,7.99628955044661,6.39107133453585,14.1140360633546,1.47031824365566,2.87822354261878,0.257961488234724
