"GeneName","Treatment","Fraction","avgExon_reads","avgIntron_reads","ExonCount","IntronCount","IntronExon_Ratio"
"SERTAD4","GSK591","Chromatin",21,21.3333333333333,1,1,0.96969696969697
"SERTAD4","GSK591","Cytoplasm",30.6666666666667,30.3333333333333,1,1,0.957894736842105
"SERTAD4","GSK591","Nucleoplasm",11,10.6666666666667,1,1,0.888888888888889
"SESN1","DMSO","Chromatin",37.0740740740741,58.6666666666667,9,1,1.5408560311284
"SESN1","DMSO","Cytoplasm",45.7407407407407,8.66666666666667,9,1,0.185419968304279
"SESN1","DMSO","Nucleoplasm",21.7407407407407,6,9,1,0.263843648208469
"SESN1","GSK591","Chromatin",60.2592592592593,73.6666666666667,9,1,1.20253929866989
"SESN1","GSK591","Cytoplasm",95.037037037037,21.6666666666667,9,1,0.225607404550713
"SESN1","GSK591","Nucleoplasm",42.3333333333333,10,9,1,0.230769230769231
"SESTD1","DMSO","Chromatin",44.8627450980392,26.1666666666667,17,2,0.570542967079949
"SESTD1","DMSO","Cytoplasm",61.8627450980392,1.66666666666667,17,2,0.0265127885215221
"SESTD1","DMSO","Nucleoplasm",25.3921568627451,0.5,17,2,0.0189450222882615
"SESTD1","GSK591","Chromatin",58.4313725490196,77,17,2,1.29561200923788
"SESTD1","GSK591","Cytoplasm",71.9607843137255,4.33333333333333,17,2,0.0593926363880677
"SESTD1","GSK591","Nucleoplasm",32.2156862745098,1.83333333333333,17,2,0.0551948051948052
"SET","DMSO","Chromatin",1541.76666666667,376.125,10,8,0.243799019078279
"SET","DMSO","Cytoplasm",3904.8,861.708333333333,10,8,0.220622749074027
"SET","DMSO","Nucleoplasm",1527,272.875,10,8,0.178583115183246
"SET","GSK591","Chromatin",1365.2,335.416666666667,10,8,0.245510662177329
"SET","GSK591","Cytoplasm",3951,752,10,8,0.190283400809717
"SET","GSK591","Nucleoplasm",1649.6,316.75,10,8,0.191899915182358
"SETBP1","DMSO","Chromatin",38,36.6666666666667,1,1,0.94017094017094
"SETBP1","DMSO","Cytoplasm",48,4.33333333333333,1,1,0.0884353741496599
"SETBP1","DMSO","Nucleoplasm",22.3333333333333,0.666666666666667,1,1,0.0285714285714286
"SETBP1","GSK591","Chromatin",51,95,1,1,1.82692307692308
"SETBP1","GSK591","Cytoplasm",52,1.66666666666667,1,1,0.0314465408805031
"SETBP1","GSK591","Nucleoplasm",22.3333333333333,1,1,1,0.0428571428571429
"SETD1A","DMSO","Chromatin",145.240740740741,34.6666666666667,18,4,0.23705204508041
"SETD1A","DMSO","Cytoplasm",172.203703703704,4.16666666666667,18,4,0.0240564524751417
"SETD1A","DMSO","Nucleoplasm",50.3703703703704,0.75,18,4,0.0145998558038933
"SETD1A","GSK591","Chromatin",176.925925925926,40.25,18,4,0.226217735220649
"SETD1A","GSK591","Cytoplasm",148.074074074074,3.91666666666667,18,4,0.0262732919254658
"SETD1A","GSK591","Nucleoplasm",69.537037037037,1.41666666666667,18,4,0.0200840115515883
"SETD1B","DMSO","Chromatin",114.145833333333,47.1666666666667,16,2,0.409625474941198
"SETD1B","DMSO","Cytoplasm",79.6041666666667,11.3333333333333,16,2,0.140604807443784
"SETD1B","DMSO","Nucleoplasm",30,2.66666666666667,16,2,0.0860215053763441
"SETD1B","GSK591","Chromatin",111.666666666667,37.8333333333333,16,2,0.335798816568047
"SETD1B","GSK591","Cytoplasm",68.4791666666667,8.33333333333333,16,2,0.119940029985007
"SETD1B","GSK591","Nucleoplasm",35.0416666666667,2.5,16,2,0.069364161849711
"SETD2","DMSO","Chromatin",148.714285714286,98.7333333333333,21,5,0.659478371501272
"SETD2","DMSO","Cytoplasm",79.1111111111111,19.9333333333333,21,5,0.248821081830791
"SETD2","DMSO","Nucleoplasm",61.5238095238095,12.9333333333333,21,5,0.206854531607007
"SETD2","GSK591","Chromatin",129.904761904762,184.6,21,5,1.410185522008
"SETD2","GSK591","Cytoplasm",95.3968253968254,31.8666666666667,21,5,0.330577968055327
"SETD2","GSK591","Nucleoplasm",68.6666666666667,20.4666666666667,21,5,0.29377990430622
"SETD3","DMSO","Chromatin",139.047619047619,72.4,14,5,0.516967018021081
"SETD3","DMSO","Cytoplasm",379.095238095238,20.6,14,5,0.0541969431220246
"SETD3","DMSO","Nucleoplasm",116.761904761905,8.33333333333333,14,5,0.0707642539425799
"SETD3","GSK591","Chromatin",135.928571428571,105.066666666667,14,5,0.767310033037733
"SETD3","GSK591","Cytoplasm",412.952380952381,49.3333333333333,14,5,0.11917634878638
"SETD3","GSK591","Nucleoplasm",152.714285714286,11.6,14,5,0.0754646840148699
"SETD4","DMSO","Chromatin",95.5333333333333,62.2857142857143,15,7,0.645224940805051
"SETD4","DMSO","Cytoplasm",41.0222222222222,9.14285714285714,15,7,0.217571957392158
"SETD4","DMSO","Nucleoplasm",20.6,4.95238095238095,15,7,0.229276895943563
"SETD4","GSK591","Chromatin",99.0888888888889,65.8571428571429,15,7,0.65798655163664
"SETD4","GSK591","Cytoplasm",51.7111111111111,12.2380952380952,15,7,0.232172970368586
"SETD4","GSK591","Nucleoplasm",32.8222222222222,9.57142857142857,15,7,0.28299230336024
"SETD5","DMSO","Chromatin",272.533333333333,113.083333333333,25,12,0.413417011942481
"SETD5","DMSO","Cytoplasm",159.88,33.8888888888889,25,12,0.210646997071661
"SETD5","DMSO","Nucleoplasm",59.1333333333333,8.97222222222222,25,12,0.149205469327421
"SETD5","GSK591","Chromatin",277.693333333333,141.5,25,12,0.507726533346091
"SETD5","GSK591","Cytoplasm",154.786666666667,38.8611111111111,25,12,0.249450815930617
"SETD5","GSK591","Nucleoplasm",76.44,11.4166666666667,25,12,0.147425964187328
"SETD6","DMSO","Chromatin",139.575757575758,138.833333333333,11,2,0.987605087303298
"SETD6","DMSO","Cytoplasm",93.4242424242424,8,11,2,0.0847240051347882
"SETD6","DMSO","Nucleoplasm",44.3939393939394,8,11,2,0.176234979973298
"SETD6","GSK591","Chromatin",107.333333333333,115.666666666667,11,2,1.06769230769231
"SETD6","GSK591","Cytoplasm",57.030303030303,8.66666666666667,11,2,0.14934725848564
"SETD6","GSK591","Nucleoplasm",28.7878787878788,5,11,2,0.167853509664293
"SETD7","DMSO","Chromatin",198,324.4,9,5,1.63015075376884
"SETD7","DMSO","Cytoplasm",454.259259259259,640,9,5,1.40579238529125
"SETD7","DMSO","Nucleoplasm",140.962962962963,217,9,5,1.52856770153926
"SETD7","GSK591","Chromatin",198.333333333333,355,9,5,1.7809364548495
"SETD7","GSK591","Cytoplasm",477.555555555556,659.666666666667,9,5,1.37845368005572
"SETD7","GSK591","Nucleoplasm",199.888888888889,296.266666666667,9,5,1.47477876106195
"SETD9","DMSO","Chromatin",23.7407407407407,50,9,4,2.02095808383234
"SETD9","DMSO","Cytoplasm",76.8148148148148,83.25,9,4,1.06984769157544
"SETD9","DMSO","Nucleoplasm",14.1851851851852,18.75,9,4,1.23475609756098
"SETD9","GSK591","Chromatin",22.962962962963,45.1666666666667,9,4,1.88485316846986
"SETD9","GSK591","Cytoplasm",62.962962962963,69.1666666666667,9,4,1.0813549507817
"SETD9","GSK591","Nucleoplasm",18.7407407407407,25,9,4,1.26641651031895
"SETDB1","DMSO","Chromatin",120.866666666667,47.1458333333333,25,16,0.386864059080963
"SETDB1","DMSO","Cytoplasm",62.7866666666667,9.75,25,16,0.152853260869565
"SETDB1","DMSO","Nucleoplasm",36.6666666666667,7.66666666666667,25,16,0.20353982300885
"SETDB1","GSK591","Chromatin",174.333333333333,83.6875,25,16,0.477305133079848
"SETDB1","GSK591","Cytoplasm",56.8,11.6041666666667,25,16,0.200764129181084
"SETDB1","GSK591","Nucleoplasm",41.6133333333333,7.5625,25,16,0.177467928660826
"SETDB2","DMSO","Chromatin",30.8,30,5,2,0.943396226415094
"SETDB2","DMSO","Cytoplasm",19.9333333333333,11.3333333333333,5,2,0.54140127388535
"SETDB2","DMSO","Nucleoplasm",14,4.5,5,2,0.3
"SETDB2","GSK591","Chromatin",41.6,35.5,5,2,0.833333333333333
"SETDB2","GSK591","Cytoplasm",29.4666666666667,9.83333333333333,5,2,0.322757111597374
"SETDB2","GSK591","Nucleoplasm",17.8666666666667,6,5,2,0.318021201413428
"SETDB2-PHF11","DMSO","Chromatin",31.8181818181818,87.7777777777778,11,6,2.67466912896276
"SETDB2-PHF11","DMSO","Cytoplasm",34.9393939393939,25.7222222222222,11,6,0.715711073636875
"SETDB2-PHF11","DMSO","Nucleoplasm",19.0606060606061,16.9444444444444,11,6,0.844662638469285
"SETDB2-PHF11","GSK591","Chromatin",41.7878787878788,112.888888888889,11,6,2.63833805476865
"SETDB2-PHF11","GSK591","Cytoplasm",30.6969696969697,30.7777777777778,11,6,0.97100063734863
"SETDB2-PHF11","GSK591","Nucleoplasm",16.7878787878788,19.9444444444444,11,6,1.12123793299262
"SETMAR","DMSO","Chromatin",49.3888888888889,49.7222222222222,6,6,0.986769570011025
"SETMAR","DMSO","Cytoplasm",72.5555555555556,33.7222222222222,6,6,0.458459214501511
"SETMAR","DMSO","Nucleoplasm",35.2222222222222,17.5555555555556,6,6,0.484662576687117
"SETMAR","GSK591","Chromatin",61.2222222222222,54.6666666666667,6,6,0.878571428571429
"SETMAR","GSK591","Cytoplasm",59.6666666666667,30.8888888888889,6,6,0.509157509157509
"SETMAR","GSK591","Nucleoplasm",35.1666666666667,18.2222222222222,6,6,0.50384024577573
"SETX","DMSO","Chromatin",164.87037037037,93.6666666666667,18,7,0.564698001563023
"SETX","DMSO","Cytoplasm",62.9814814814815,3.61904761904762,18,7,0.0565639859416994
"SETX","DMSO","Nucleoplasm",44.3703703703704,2.42857142857143,18,7,0.0535276967930029
"SETX","GSK591","Chromatin",164.648148148148,113.142857142857,18,7,0.683031222550507
"SETX","GSK591","Cytoplasm",87.6296296296296,4.28571428571429,18,7,0.0483553220703242
"SETX","GSK591","Nucleoplasm",64.6666666666667,2.28571428571429,18,7,0.0348078317621465
"SEZ6L2","DMSO","Chromatin",113.416666666667,82.25,20,4,0.718863801893664
"SEZ6L2","DMSO","Cytoplasm",11.65,6,20,4,0.474308300395257
"SEZ6L2","DMSO","Nucleoplasm",92.5166666666667,59.9166666666667,20,4,0.640705756549635
"SEZ6L2","GSK591","Chromatin",88.1333333333333,58.5,20,4,0.656320119670905
"SEZ6L2","GSK591","Cytoplasm",11.6,8.66666666666667,20,4,0.687830687830688
"SEZ6L2","GSK591","Nucleoplasm",96.85,61.5,20,4,0.628513030148186
"SF1","DMSO","Chromatin",617.653333333333,501.666666666667,25,11,0.810901097006401
"SF1","DMSO","Cytoplasm",1051.90666666667,367.666666666667,25,11,0.349192077803667
"SF1","DMSO","Nucleoplasm",419.946666666667,151.757575757576,25,11,0.360514972025536
"SF1","GSK591","Chromatin",583.026666666667,474.030303030303,25,11,0.811658662327582
"SF1","GSK591","Cytoplasm",932.986666666667,344.424242424242,25,11,0.368767836540396
"SF1","GSK591","Nucleoplasm",494.76,187.030303030303,25,11,0.377259768900886
"SF3A2","DMSO","Chromatin",389.740740740741,71.1111111111111,9,3,0.181990521327014
"SF3A2","DMSO","Cytoplasm",453.851851851852,8.55555555555556,9,3,0.0188095431968081
"SF3A2","DMSO","Nucleoplasm",201.740740740741,2.33333333333333,9,3,0.0115089514066496
"SF3A2","GSK591","Chromatin",414.185185185185,76.2222222222222,9,3,0.183586083853702
"SF3A2","GSK591","Cytoplasm",507.444444444444,7.33333333333333,9,3,0.0144230769230769
"SF3A2","GSK591","Nucleoplasm",316.851851851852,3.22222222222222,9,3,0.0101374970869261
"SF3A3","DMSO","Chromatin",252.921568627451,88.0833333333333,17,4,0.346891891891892
"SF3A3","DMSO","Cytoplasm",415.21568627451,120.333333333333,17,4,0.289112922221699
"SF3A3","DMSO","Nucleoplasm",235.21568627451,54.9166666666667,17,4,0.232485266041338
"SF3A3","GSK591","Chromatin",251.901960784314,93,17,4,0.367731431229648
"SF3A3","GSK591","Cytoplasm",418.43137254902,109.666666666667,17,4,0.261465102145762
"SF3A3","GSK591","Nucleoplasm",280.098039215686,68.1666666666667,17,4,0.242501395089286
"SF3B1","DMSO","Chromatin",574.72619047619,99.4285714285714,28,7,0.172701143483385
"SF3B1","DMSO","Cytoplasm",359.904761904762,6.52380952380952,28,7,0.0180762633592822
"SF3B1","DMSO","Nucleoplasm",244.833333333333,4.19047619047619,28,7,0.017046004842615
"SF3B1","GSK591","Chromatin",566.238095238095,74.6190476190476,28,7,0.131548018804567
"SF3B1","GSK591","Cytoplasm",459.666666666667,7,28,7,0.0151953690303907
"SF3B1","GSK591","Nucleoplasm",365.142857142857,4,28,7,0.0109246976199766
"SF3B2","DMSO","Chromatin",741.136363636364,61.5555555555556,22,6,0.0829437264789748
"SF3B2","DMSO","Cytoplasm",939.227272727273,4.66666666666667,22,6,0.00496333897349126
"SF3B2","DMSO","Nucleoplasm",542.530303030303,3.33333333333333,22,6,0.00613274607643632
"SF3B2","GSK591","Chromatin",765.075757575758,65.6111111111111,22,6,0.0856457216695345
"SF3B2","GSK591","Cytoplasm",956.69696969697,5.16666666666667,22,6,0.00539488672319959
"SF3B2","GSK591","Nucleoplasm",672.121212121212,4.05555555555556,22,6,0.00602500037515569
"SF3B3","DMSO","Chromatin",457.846153846154,84.4444444444444,26,3,0.184036509267021
"SF3B3","DMSO","Cytoplasm",488.282051282051,16.1111111111111,26,3,0.0329280648429585
"SF3B3","DMSO","Nucleoplasm",240.205128205128,3.88888888888889,26,3,0.0161227454732292
"SF3B3","GSK591","Chromatin",386.833333333333,93.1111111111111,26,3,0.240080217733849
"SF3B3","GSK591","Cytoplasm",419.24358974359,21.1111111111111,26,3,0.050235414950629
"SF3B3","GSK591","Nucleoplasm",274.179487179487,9.22222222222222,26,3,0.0335134799353957
"SF3B4","DMSO","Chromatin",585.333333333333,75.5,6,2,0.128766344513928
"SF3B4","DMSO","Cytoplasm",1112.77777777778,11,6,2,0.00987629688747007
"SF3B4","DMSO","Nucleoplasm",511.111111111111,6.83333333333333,6,2,0.013343458450857
"SF3B4","GSK591","Chromatin",593.111111111111,64.8333333333333,6,2,0.109126613054049
"SF3B4","GSK591","Cytoplasm",1124.5,7.16666666666667,6,2,0.00636754035243596
"SF3B4","GSK591","Nucleoplasm",769.611111111111,6.5,6,2,0.0084348641049672
"SF3B6","DMSO","Chromatin",584.166666666667,72.5,4,2,0.123896325833096
